ID,Latitude,Longitude,Date,MODIS_Tile,MYD16A2_061_Line_Y_500m,MYD16A2_061_Sample_X_500m,MYD16A2_061_ET_500m,MYD16A2_061_PET_500m,MYD16A2_061_ET_QC_500m,MYD16A2_061_ET_QC_500m_bitmask,MYD16A2_061_ET_QC_500m_MODLAND,MYD16A2_061_ET_QC_500m_MODLAND_Description,MYD16A2_061_ET_QC_500m_Sensor,MYD16A2_061_ET_QC_500m_Sensor_Description,MYD16A2_061_ET_QC_500m_DeadDetector,MYD16A2_061_ET_QC_500m_DeadDetector_Description,MYD16A2_061_ET_QC_500m_CloudState,MYD16A2_061_ET_QC_500m_CloudState_Description,MYD16A2_061_ET_QC_500m_SCF_QC,MYD16A2_061_ET_QC_500m_SCF_QC_Description
acebozem,45.66,-111.07,2021-01-25,h10v04,1041.0,569.0,3.5,3.7,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-02,h10v04,1041.0,569.0,3.3,3.5,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-10,h10v04,1041.0,569.0,2.2,2.2,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-18,h10v04,1041.0,569.0,4.2000003,4.3000002,99.0,0b01100011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-26,h10v04,1041.0,569.0,4.8000002,5.4000001,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-03-06,h10v04,1041.0,569.0,9.6999998,12.8000002,107.0,0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-03-14,h10v04,1041.0,569.0,13.0,15.6999998,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-03-22,h10v04,1041.0,569.0,11.6000004,13.5,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-03-30,h10v04,1041.0,569.0,11.1000004,27.3000011,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-04-07,h10v04,1041.0,569.0,11.6000004,24.6000004,2.0,0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
